Where would you find the Sea of Tranquility?,The Moon,Mars,The Pacific Ocean,The Atlantic Ocean,The Moon
What is the chemical symbol for gold?,Go,A,Au,G,Au
Which of these animals is an herbivore?,Shark,Cow,Eagle,Dog,Cow
If you suffer from lygophobia what are you afraid of?,The Dark,Water,Clouds,Dust,The Dark
What did astronauts claim the moon smelled like?,Mold,Manure,Propane gas,Burnt gunpowder,Burnt gunpowder
Where would you find a proboscis?,In the ocean,On a tree,In Africa,A person's face,A person's face
How many bones are in a shark's body?,228,97,130,0,0
Which of these is another word/phrase for Tsunami?,Earthquake,Tidal wave,Hurricane,Tornado,Tidal wave
What do you call a person who studies rocks?,A geologist,A biologist,An archeologist,An ornithologist,A geologist
Where is the largest desert on earth?,North America,Africa,Europe,Antarctica,Antarctica
Gregor Mendel performed experiments on which of the following?,Trees,Monkeys,Dogs,Plants,Plants
If it is -40 Celsius what is the temperature in Fahrenheit?,0,10,-40,20,-40
What does a cord measure?,Wood,Hay,Milk,Yarn,Wood
When was the planet Neptune discovered?,1289,1945,1637,1846,1846
Which of these planets does not have any satellites?,Earth,Neptune,Mercury,Jupiter,Mercury
When did Neil Armstrong become the first man to step onto the Moon?,July 20 1970,July 20 1967,July 20 1968,July 20 1969,July 20 1969
What does a light-year measure?,Distance,Luminosity,Gravity,Time,Distance
It may take you just a few minutes to finish a meal but how long does it take your body to digest the food?,About 4 Hours,About 24 Hours,About 6 Hours,About 12 Hours,About 12 Hours
Which car has been built more often than any other in the World?,Fiat,Ford Model T,Chevrolet Bel Air,Volkswagen Beetle,Volkswagen Beetle
How old was Michael Jackson when he died in 2009?,45,50,55,60,50
In a game of baseball how many players are on the field?,7,10,9,8,9
The Latin phrase "Magnum Opus" means what in English?,Great work,Buyer Beware,Original Work,Large,Great work
What classical book from 1953 opens with the line "It was a pleasure to burn."?,Brave New World,Nineteen Eighty-Four,Animal Farm,Fahrenheit 451,Fahrenheit 451
What cocktail consists of gin and dry vermouth?`,Alexander,My Fair Lady,Gin Sour,Gibson,Gibson
Released in 2001 what biopic movie saw Johnny Depp play a cocaine importer named George Jung?,Goodfellas,Blow,Vanilla Sky,Scarface,Blow
Which explorer is credited with discovering Canada?,William Clark,Erik the Red,Percy Harrison Fawcett,Jacques Cartier,Jacques Cartier
As of 2012 who is the only prime minister to receive the Nobel Prize?,Winston Churchill,Harold Macmillan,Margaret Thatcher,Neville Chamberlain,Winston Churchill
Before his premature death in 1991 Freddie Mercury was lead singer for which band?,Jethro Tull,Yes,Queen,Deep Purple,Queen
What planet in our Solar System is known for its "Great Red Spot"?,Jupiter,Neptune,Uranus,Saturn,Jupiter
Holden Caulfield is the main character in which of the following novels?,The Great Gatsby,Lord of the Flies,To Kill a Mockingbird,The Catcher in the Rye,The Catcher in the Rye
Which country's air force was called the Luftwaffe during World War II?,Germany,Russia,Bolivia,England,Germany
Which of these horse breeds is considered a heavy horse?,Clydesdale,Morgan,Thoroughbred,Arabian,Clydesdale
Which broadcaster said the famous words "Down Goes Frasier! Down Goes Frasier! Down Goes Frasier!"?,Dick Irvine,Dick Young,Jimmy Cannon,Howard Cosell,Howard Cosell
"I Kid You Not" is the title of whose autobiography?,Bob Hope,Tim Allen,Steve Martin,Jack Paar,Jack Paar
What is the capital of Falkland Islands?,Caracus,Paramaribo,Georgetown,Port Stanley,Port Stanley
In the 1961 Disney version of the "Parent Trap" who plays the twins?,Lindsey Lohan,Jennifer Love Hewitt,Hayley Mills,Annette Funicello,Hayley Mills
In which novel would you find the character Captain John Yossarian?,The Red Badge of Courage,Moby Dick,War and Peace,Catch 22,Catch 22
Where would you find Mt. Tempest?,The Rockies,Germany,Australia,The Himalayas,Australia
What is Rudolf Wanderone famous for?,Actor,Playing pool,Writer,Piano player,Playing pool
Who eventually replaced bandleader Skitch Henderson on the tonight show in 1966?,Les Elgart,Tommy Dorsey,Paul Schafer,Doc Severinsen,Doc Severinsen
In 1968 which country invaded Czechoslovakia?,Iran,Bosnia,France,Russia,Russia
"Anticipations of the Reaction of Mechanical and Scientific Progress Upon Human Life and Thought" was written by which famous author?,Herman Melville,Alexander Dumas,H. G. Wells,Joseph Heller,H. G. Wells
Which of these words is not a part of the Olympic motto?,Stronger,Smarter,Higher,Faster,Smarter
What competition has Bob Plager John Jepson and Jerry Buma won?,The Davis Cup,The World Rock Paper Scissors Tournament,The World Chess Championship,International Chilli Cook Off,International Chilli Cook Off
Which music icon recorded the songs Bad Girl Vincent and Great Big Man?,Jim Croce,Elton John,Paul McCartney,Don Mclean,Don Mclean
Who stars as Seeley Booth in the hit TV series "Bones"?,David Boreanaz,Chevy Chase,David Duchovny,Tim Allen,David Boreanaz
What was the name of the ship that was captained by Edward J. Smith?,Enola Gay,Lusitania,Blue Nose,Titanic,Titanic
Which country created the rumba?,Cuba,Japan,Spain,Lithuania,Cuba
What was Jacqueline Kennedy Onassis' maiden name?,Goldblum,Rothschild,Windsor,Bouvier,Bouvier
Which famous person sailed on a ship called the Beagle?,Jacques Cousteau,Charles Darwin,Sebastian Cabot,Christopher Columbus,Charles Darwin
Which Greek god is often portrayed with a flute?,Mars,Hercules,Cupid,Pan,Pan
In which musical film would you hear the song "Supercalifragilisticexpialidocious"?,Seven Brides for Seven Brothers,Oklahoma,Chitty Chitty Bang Bang,Mary Poppins,Mary Poppins
Who lived on Wolverton Mountain?,Dolly Parton,John Denver,Clifton Clowers,Loretta Lynn,Clifton Clowers
Princess Tiger Lily appears in which Disney movie?,Mulan,Tangled,The Frog Prince,Peter Pan,Peter Pan
Jakarta is the capital of which nation?,Spain,Iceland,Columbia,Indonesia,Indonesia
In what industry did John D. Rockefeller make his fortune?,Retail,Diamonds,Trains,Oil,Oil
In the card game "bridge" which suit is considered the lowest?,Diamonds,Spades,Hearts,Clubs,Clubs
Narnia is a world created by which author?,J. M. Barrie,Lewis Carroll,J. R. R. Tolkien,C. S. Lewis,C. S. Lewis
How many players are on each side in a professional hockey game?,7,8,4,6,6
In what year did Jimmy Hoffa disappear?,1965,1960,1975,1980,1975
Which detective worked for M16?,Dick Tracey,Sherlock Holmes,George Smiley,Miss Marple,George Smiley
Which of the following sports is not featured in the Winter Olympics?,Skeleton,Alpine Skiing,Curling,Ice Swimming,Ice Swimming
How did Julius Caesar die?,Stabbed,Hung,Fell off his horse,Killed in battle,Stabbed
When did the RMS Titanic sink?,1902,1936,1927,1912,1912
Name the longest bone in the human body?,Femur,Tibia,Radius,Clavicle,Femur
Which planet is named after the messenger of the gods?,Venus,Mars,Neptune,Mercury,Mercury
Which of these creatures is a crustacean?,Lobster,Emu,Cactus mouse,Clownfish,Lobster
What is the capital of Bolivia?,Quito,Santiago,La Paz,Lima,La Paz
Whom does Sandra Oh play on the hit TV show Grey's Anatomy?,Dr. Webber,Dr. Yang,Dr. Hunt,Dr. Grey,Dr. Yang
Which of these is an island?,Montenegro,Kolyma,Mekong,Lena,Montenegro
Who directed the Lord of the Rings trilogy?,George Lucas,Stephen Spielberg,Francis Ford Copula,Peter Jackson,Peter Jackson
In which sport would you hear the terms axel loop and spin?,Bowling,Sailing,Alpine skiing,Figure skating,Figure skating
Which of these plants has very poisonous leaves?,Cicley,Fennel,Anise,Oleander,Oleander
Which of these stones is blue?,Peridot,Tourmaline,Emerald,Lapis lazuli,Lapis lazuli
If you were Wiccan when would you celebrate Beltane?,New Year's,Halloween,Labor Day,May Day,May Day
In the classic story Romeo and Juliet what is Romeo's last name?,Montague,Essex,Capulet,Blunt,Montague
Who married Queen Elizabeth II?,Prince Edward,Prince Andrew,Prince Charles,Prince Phillip,Prince Phillip
Which band is featured in the book "The Dirt Confessions of the World's Most Notorious Rock Band"?,Motley Crue,The Rolling Stones,Led Zeppelin,The Sex Pistols,Motley Crue
OJ Simpson played for which American football team from 1969 to 1977?,Indianapolis Colts,Buffalo Bills,Dallas Cowboys,San Francisco 49ers,Buffalo Bills
Which country became the first to ban the sale of tobacco and tobacco products?,Cambodia,Bhutan,Canada,Ireland,Bhutan
Tainted Love was originally a hit for whom in the 1960s?,Gloria Jones,Donna Summer,Dorothy Dandridge,Diana Ross,Gloria Jones
Which planet experiences the fastest winds in the Solar System?,Mars,Uranus,Neptune,Jupiter,Neptune
The Four Temperaments was a classic 1946 ballet by whom?,Beatrice Tompkins,Vaslav Nijinsky,Marius Petipa,George Balanchine,George Balanchine
Old Major was which type of creature in Animal Farm?,Raven,Horse,Dog,Pig,Pig
How many of Henry VIII's children ascended the throne?,6,2,3,4,3
A "charity line" or "charity stripe" is associated with which sport?,Golf,Basketball,Soccer,Field hockey,Basketball
Knaidel is a kind of what?,Dance,Poem,Dumpling,Spinning top,Dumpling
Which well-known snack has Sailor Jack on its packaging?,Lays Chips,Life Savers,Almond Joy,Cracker Jack,Cracker Jack
What is the proper name of the candle holder used for Hanukkah?,Yarmulke,Menorah,Kippah,Yamaka,Menorah
